factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0,-0.16703804855832985,-0.31308492592150716,-0.15196614315211257,0.005114711616229486,-0.022353430819414977,0.029436706031188573,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.16703804855832985,1.0,-0.022942341027410787,-0.004316351251605791,0.02000425285263649,0.03590313071235842,0.00035006135503909316,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,-0.31308492592150716,-0.022942341027410787,1.0,0.06472572577984095,0.0005604761515984606,0.14299109226989284,-0.006849866543601178,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.15196614315211257,-0.004316351251605791,0.06472572577984095,1.0,-0.004391162238445189,-0.049890068795865966,-0.0688974766512164,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,0.005114711616229486,0.02000425285263649,0.0005604761515984606,-0.004391162238445189,1.0,0.34461659138235373,0.4070461175776075,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,-0.022353430819414977,0.03590313071235842,0.14299109226989284,-0.049890068795865966,0.34461659138235373,1.0,0.7671210352246254,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.029436706031188573,0.00035006135503909316,-0.006849866543601178,-0.0688974766512164,0.4070461175776075,0.7671210352246254,1.0,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,-0.12106744915361191,-0.23894686973745824,-0.24666476122678732,-0.032149549552433335,-0.0037189205613579867,0.027285722679516834,1.0,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.0,-0.02532133782337894,-0.003613732984664534,0.011329043019470672,0.035996986164869516,0.0014416864706693962,-0.12106744915361191,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,-0.02532133782337894,1.0,0.07882184824838763,0.0025038420181066616,0.13948835572157708,-0.014277905434960842,-0.23894686973745824,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,-0.003613732984664534,0.07882184824838763,1.0,-0.006002408313771109,-0.05139705579557947,-0.07015852970873117,-0.24666476122678732,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,0.011329043019470672,0.0025038420181066616,-0.006002408313771109,1.0,0.3408826322055451,0.4006409090687654,-0.032149549552433335,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,0.035996986164869516,0.13948835572157708,-0.05139705579557947,0.3408826322055451,1.0,0.7668638222087447,-0.0037189205613579867,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,0.0014416864706693962,-0.014277905434960842,-0.07015852970873117,0.4006409090687654,0.7668638222087447,1.0,0.027285722679516834,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,-0.12738078594442448,-0.42472694964469765,-0.24897967259195855,-0.01946522446706849,-0.05144804638263189,0.015984562098436367,,1.0,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.0,0.03918927296906925,-0.0118640622914435,0.01406252186718431,0.03956324127998299,-0.00485497922593066,,-0.12738078594442448,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,0.03918927296906925,1.0,0.022377470120334125,0.02636849860281225,0.14116943781433136,0.020343198376482644,,-0.42472694964469765,,
