factor,month_date,n_obs,r_squared,adj_r_squared,const,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,2012-09-28,52,0.275437449027205,0.1601661340997148,0.6850242731840509,-0.3576266815123241,-0.17598453028198047,0.037489983849010956,-1.8627712038348831,0.0483573697452681,-0.011431027420107709,0.0009085459320711261,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-10-31,52,0.3346765354796921,0.22882962066964307,-0.14244414385593937,0.35143527477020514,0.8024601529259037,0.3294073110986342,-0.11600734654399615,0.025745400734037353,-0.005937322942657002,0.0010204237170657485,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-11-30,55,0.2339966630986996,0.11991105973042093,0.26968663030173473,0.05306057515128018,-1.3676300785170303,0.1148456116970075,-0.9158310707257465,0.0663440826035025,-0.007017775016234846,0.0003304180504872558,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-12-31,59,0.19512610639241978,0.08465321903451661,0.2587485927870127,-0.0006719619390774648,-1.0706440612004673,0.03132545693050032,0.1317934374215203,0.03943185403099388,-0.004996388194595739,-0.0003476994724830043,,,,
FAC_rank_vol_m3_n6_pairwise1,2013-01-31,61,0.2699393450623784,0.17351623969325858,0.26672972314670207,0.17838135487585094,-0.2519497030037784,0.685223327785497,-2.3575448835024333,0.0718892132354834,-0.014388499919415666,-0.00019704014616770915,,,,
FAC_rank_vol_m3_n6_pairwise1,2013-02-28,60,0.3583213842128532,0.2719415705491989,0.07019429072418515,-0.046242260479373416,2.2343239931749803,0.37179014920134396,-2.098233841529438,0.011741079143106172,0.004858524426556274,-0.0004857732583999673,,,,
FAC_rank_vol_m3_n6_pairwise1,2013-03-29,62,0.215959579385688,0.11432471004679579,0.437715925565069,-0.15967220584657746,1.015953748013012,0.19389795725381825,0.7107822379983036,-0.007514117252190759,-0.008405720108402402,-0.0005080856029087636,,,,
FAC_rank_vol_m3_n6_pairwise1,2013-04-26,61,0.2809595214983125,0.1859919111301651,0.023851494210481324,0.30765723898461084,1.2351545935302408,0.42695199543821266,1.478696130998217,0.026120637119245244,-0.017516054786448642,0.0005278356696197511,,,,
FAC_rank_vol_m3_n6_pairwise1,2013-05-31,62,0.1601119659204484,0.051237591132358484,0.30998952843486555,-0.054108004961103705,0.12224151119718032,0.38126261314113163,-0.18848473482857447,-0.000364465261144797,-0.012054633856575177,0.00020894107531008472,,,,
FAC_rank_vol_m3_n6_pairwise1,2013-06-28,62,0.04861854494527518,-0.07470868070996683,0.19330537873699902,-0.030833996944861206,-0.26301377894187394,0.1848885496844947,-0.4479511126426827,0.03547435219739365,-0.005973308008671834,-1.718283555207006e-05,,,,
