factor,month_date,n_obs,r_squared,adj_r_squared,const,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC__x__RANK_MEAN,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,2009-10-30,51,0.3522165019298129,0.2288291689640629,1.1309600684553245,-0.11374837706354175,0.8874550506355848,-0.0036665609700992927,-0.4204390227627539,-0.009997360325338484,-0.046428249779890844,-0.0002292446238043465,0.02483572136068807,,,,
FAC_rank_vol_m3_n6_pairwise1,2009-11-30,53,0.3424606006181863,0.22290798254876554,0.9714431896059276,-0.1805166527226098,0.5562224624972634,-0.07203099101873676,-0.01522209044744073,-0.028031932175179287,-0.03970860384004058,-0.00014779504457830802,0.011664077061404288,,,,
FAC_rank_vol_m3_n6_pairwise1,2009-12-31,59,0.3599209652673754,0.2575083197101554,0.6837372513712021,-0.030298148017060638,0.7030264705292439,-0.1332760987803109,0.3253280618440047,0.006237228093728684,-0.03653158724742441,0.00019251406262133102,0.041172003141330224,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-01-29,55,0.2063199657632474,0.06828865546120344,0.4510069533163598,0.011009548572787464,0.09961644474365443,-0.039997812104986236,-0.05873133306300494,-0.008682345273539331,-0.020729775708538813,-7.978920404810657e-05,0.02465452938230718,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-02-26,59,0.24819578493585193,0.12790711052558823,0.6634263053497591,-0.05996816829358511,-0.4614246933608486,-0.032566558123601604,0.29292219144220205,0.011740095565097097,-0.030032284886299342,0.00013363962956954164,0.06232177139609779,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-03-31,60,0.20960099021020706,0.08561683181180824,0.38213437865781585,-0.05388576019618917,-0.13492376128271177,0.01603275920686889,-0.11015431081062957,0.022573452294579268,-0.017854609108267378,0.00013185673009203915,0.08811452485773673,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-04-30,60,0.1470484685085447,0.01325214984321832,0.16938505750551652,0.009860130593709266,0.4546222629129688,0.08655062152929947,-0.4147766377250048,-0.041901204660345706,0.0005876158409230035,0.00018934216015131675,0.017248958613313572,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-05-31,57,0.25015627538716734,0.12518232128502849,0.2063958385532155,0.11694249543239038,0.8233844441931145,0.4325764545873651,0.0580172319749656,0.002084763922842108,-0.007082184870963577,0.0004885802620875131,-0.05833955455156952,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-06-30,57,0.2554920606017823,0.13140740403541262,0.37007020036722327,0.2629158049496601,-0.18303610360141062,0.6920517849608039,0.05040272861870032,-0.027568794923190656,-0.01503871168170126,0.0007766236792869101,-0.0957579153294267,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-07-30,58,0.24020477048378308,0.11615656974644151,0.3257004075176193,-0.19219443423451987,0.4460496950595019,0.1625668438815945,-0.8507180519438813,-0.02528587421373282,0.0008360609993855219,-8.957206506142486e-05,0.03239494291839899,,,,
