factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC__x__RANK_MEAN,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0,-0.016829915930837044,0.013745123592145287,-0.12205721550153595,-0.016125139973544658,0.013339177598272866,0.014187712605635143,0.1817615083515577,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.016829915930837044,1.0,0.04687779109734469,-0.011629951368041114,-0.0031371474707509684,0.03847001412557572,-0.01912003516726006,0.163001901472254,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.013745123592145287,0.04687779109734469,1.0,0.06245309913271146,-0.024320356738942707,0.13720039398402548,-0.06344209586488557,0.7329039579387406,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.12205721550153595,-0.011629951368041114,0.06245309913271146,1.0,-0.007046155561176566,-0.08132406500723714,-0.10382744295817282,-0.04531547407580254,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.016125139973544658,-0.0031371474707509684,-0.024320356738942707,-0.007046155561176566,1.0,0.22551854618595837,0.2643389882792608,-0.06458692258010791,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.013339177598272866,0.03847001412557572,0.13720039398402548,-0.08132406500723714,0.22551854618595837,1.0,0.7459480195196045,0.11159667468509471,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.014187712605635143,-0.01912003516726006,-0.06344209586488557,-0.10382744295817282,0.2643389882792608,0.7459480195196045,1.0,-0.03377147211942494,,,,
FAC_rank_vol_m3_n6_pairwise1,FAC__x__RANK_MEAN,0.1817615083515577,0.163001901472254,0.7329039579387406,-0.04531547407580254,-0.06458692258010791,0.11159667468509471,-0.03377147211942494,1.0,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,-0.014765563882554575,-0.022220123145585288,-0.2297848697945699,-0.03417276117615991,0.020168312276488666,0.01672007521248916,0.28607571589694497,1.0,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.0,0.04687779109734469,-0.011629951368041114,-0.0031371474707509684,0.03847001412557572,-0.01912003516726006,0.16529196814277397,-0.014765563882554575,,,
