factor,variable,coef,newey_west_se,t_stat,p_value,n_months,avg_monthly_n,total_regression_obs,avg_r_squared,avg_adj_r_squared,newey_west_lag,min_cross_section_n
FAC_rank_vol_m3_n6_pairwise1,const,0.08495268432371396,0.026794982162903706,3.170469896461683,0.0018409976628771673,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,-0.018485224361112367,0.012086729258740127,-1.5293818505734607,0.12824824055377207,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,0.19200399442432237,0.07445575685473162,2.5787662705374896,0.010864327653982273,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.05792897070722466,0.019418354429373296,2.983206992019779,0.003324065440087092,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.1038390212429132,0.2373157189636604,-0.43755644040930053,0.6623289410468838,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,0.006384542089563101,0.005768109784253934,1.10686903134055,0.2700991850890114,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,-0.006028696333492953,0.0033601530435960307,-1.794173138923771,0.07477314154437102,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,-3.0530890178226515e-05,5.09955477730802e-05,-0.5986971708605379,0.5502660142873468,153,216.67320261437908,33151,0.2049793574136721,0.1574947062887143,5,50
FAC_rank_vol_m6_n3_pairwise1,const,0.09807363584130852,0.024691615471478537,3.9719408377549894,0.00010974001152973293,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,-0.03642174416605005,0.014038633423998921,-2.594393846326053,0.010402955797304018,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,0.1909147981736094,0.07430862083114524,2.569214662285733,0.011155282744738431,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,0.0557700915000852,0.019574258321104532,2.8491547718032884,0.00499159865543975,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.14980991682787112,0.24585015093298948,-0.6093545855446894,0.5431991769997649,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,0.006769743950837611,0.005814517011091501,1.1642831103467346,0.2461334698923107,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,-0.00582182541505916,0.003429777898071838,-1.697435107483808,0.09166095358977876,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,-2.8116427283673046e-05,5.1008121432597115e-05,-0.5512147182449467,0.5822958425864893,153,216.67320261437908,33151,0.20828250511739047,0.1609072889471905,5,50
FAC_rank_vol_m6_n6_pairwise1,const,0.07655928705118233,0.02792409078734241,2.7416931005641034,0.0068934780097107224,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,-0.00959952709130061,0.013339232008433838,-0.7196461599311887,0.4729173884555299,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.18076050031542779,0.07824005555156599,2.31033195261848,0.022300403796636992,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,0.056834777606508916,0.020080509750443645,2.8303453603937143,0.005319662398635358,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,-0.07596630411695261,0.2527975189812855,-0.3005025698949853,0.7642302718296083,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,0.008350924624268176,0.005589619292232401,1.4940059756615294,0.1373773535052368,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,-0.007302938304973279,0.0037398870728586526,-1.9527162619354552,0.052806163349240966,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,-3.3415785253884987e-06,5.9368038989725136e-05,-0.056285816110025595,0.9551926858742374,144,194.99305555555554,28079,0.21738969140648226,0.16618124636202003,5,50
FAC_rank_vol_m6_n12_pairwise1,const,0.10930648083112067,0.04574911091630375,2.3892591274853996,0.01863258690501644,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,-0.023270210222750567,0.030603821252585952,-0.7603694333035058,0.44870604313558726,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,0.19163925704368268,0.10408760255845483,1.8411343169909162,0.06837226799846297,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,0.03617869696402951,0.0229273282784334,1.5779726501347746,0.11752382366008005,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,-0.01772680350815128,0.31053497174962563,-0.057084725138281146,0.954584169152588,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,0.005915476948366911,0.007611126670126865,0.7772143605998231,0.4387472536164042,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,-0.007686194332247158,0.005644489723811467,-1.3617164187265134,0.17614765193027074,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,-5.4273605481621696e-05,7.804696719146601e-05,-0.6953967262876065,0.488314226603317,108,181.4814814814815,19600,0.23719259370460682,0.18980415369935844,5,50
FAC_rank_vol_m12_n6_pairwise1,const,0.07836073109859408,0.03959481741759908,1.9790653476726061,0.05037783797877177,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,0.013136490757816388,0.02213448391867166,0.5934852967922615,0.5541089206827258,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,0.1982126283687292,0.10285971694449546,1.927018994964642,0.056629328045891776,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,0.03491779402777751,0.022707561901882643,1.5377165623792726,0.12706991811969995,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,0.013773948255026881,0.3155263008344652,0.04365388311085078,0.9652616614117167,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,0.004642849325639699,0.007647263028373203,0.607125622384584,0.5450537483031648,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,-0.007275366376964104,0.005450334399564851,-1.3348477072425065,0.18475949927069776,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,-6.178468878400156e-05,7.75377467308683e-05,-0.7968336892540192,0.42731218251269865,108,181.4814814814815,19600,0.23117359048764638,0.18287721689944678,5,50
