factor,month_date,n_obs,r_squared,adj_r_squared,const,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,2009-10-30,51,0.34744713996192056,0.24121760460688446,1.0694171030848894,-0.08946077637290546,0.8388864245559452,0.035023866433572345,-0.4495164608583679,-0.012466039688124505,-0.04478327626690299,-0.00023232835776530554,,,,
FAC_rank_vol_m3_n6_pairwise1,2009-11-30,53,0.3414722643315037,0.23903461656084868,0.9611172082417928,-0.17972717903244206,0.5650109027164637,-0.05325342602766661,-0.05605065693278599,-0.029510093069834584,-0.03933199459241003,-0.00015295284595908778,,,,
FAC_rank_vol_m3_n6_pairwise1,2009-12-31,59,0.3493211343845326,0.2600122704765272,0.6655053287312346,-0.0031066363654785527,0.8745257542085245,-0.07249382512698303,0.06452372457758465,0.006196684307636068,-0.036715486391718975,0.00011701044619633107,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-01-29,55,0.20371723844199763,0.08512193352910369,0.4621624004980337,0.02933218794266828,0.16335562691915007,-0.0009136509913988053,-0.3178262391562393,-0.011615349867512713,-0.021068475600648135,-0.00011409576621353955,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-02-26,59,0.23133429375939885,0.12583115760872798,0.7066964591053614,-0.026310743609562627,-0.20218458433766376,0.07373650314938629,-0.30706500521271024,0.00032031402333084586,-0.03113806162202786,2.5427313273962526e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-03-31,60,0.16881089609751532,0.05692005518756538,0.43242062145469234,-0.031732863092543945,0.07807066956732103,0.19487812299569413,-0.4726390937869851,0.018132162644935144,-0.020044890785172437,0.00010389648982238172,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-04-30,60,0.1450106132616491,0.029915888123794088,0.18409331131014806,0.013732551103887821,0.5169323956254109,0.12493071862695201,-0.4403802013606667,-0.04300435702775534,-3.164204134923096e-05,0.0001831478964661218,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-05-31,57,0.23971575400209988,0.13110371885954264,0.12686251652775724,0.1046928142009355,0.6859381739677748,0.29988507752229226,0.07128450195035814,0.0088748742845216,-0.0038260512885119275,0.0004316583275726758,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-06-30,57,0.228197426022698,0.11793991545451199,0.22992164265250833,0.21705125045676907,-0.3036391406813544,0.42052295715106247,0.08969013725307651,0.0003304693533811542,-0.010495809427220034,0.0006839846248919239,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-07-30,58,0.23522192425432054,0.12815299364992538,0.36049760825040683,-0.1557107190594053,0.32261385435516576,0.2659585805799162,-0.7094809131561088,-0.03482516231401121,-0.0004500727387959685,-3.2694613176572264e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-08-31,55,0.14197269363856246,0.014181392691114403,0.18318568449817485,-0.12185759177327347,-0.2563759725345381,0.10774895154271875,-1.2801702977701042,-0.047883177444596234,0.008845111974051707,-0.00046474625882885346,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-09-30,60,0.19349300137136383,0.08492475155597046,-0.32349145315288996,0.1514676466163574,-0.90643435340209,-0.11155188557149723,0.14025402113635757,-0.03776561928564682,0.013396607686675143,-0.0003734243434591087,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-10-29,56,0.202096710869887,0.08573581453841228,-0.21326805476623573,0.051275128566387,0.4988556293590602,-0.0532029668972014,-2.6600720933493895,0.005914854037310216,0.011556697230101453,-0.000545277825829348,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-11-30,59,0.3009847332922081,0.20504146139113855,-0.358686206963666,0.08728893076478782,-0.43647273199037656,-0.11084156338421025,-0.23220330974024017,-0.06856039107928107,0.012414679545116806,-0.00025794439240631775,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-12-31,61,0.3229942698716508,0.23357841872262364,-0.4726041758215126,-0.004254340523010496,0.7326531187714374,-0.14334838110713555,-0.5517533590638549,0.0124498021056192,0.020715753169326938,-0.00042753568005772237,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-01-31,60,0.14345360408478314,0.028149281557734662,-0.09535767220956637,-0.04685812664153633,-0.21465948538549423,0.054903338430033845,0.1825708066237348,-0.06325593082556957,0.006945933852847146,-4.575728464719825e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-02-28,63,0.17584856207653732,0.07095656088627844,-0.07681987465894569,0.047229189866650576,-0.8064097368025511,0.09744152224828105,0.22048200225840353,-0.04559023694608634,0.0005465195533540605,0.00013251846351734425,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-03-31,63,0.21284596827461966,0.11266272787320752,0.07206715029696818,-0.11584910295734348,-0.05192744855754074,0.0911937264908211,-1.2159032061611017,-0.054153736105449886,-0.0009236572734661704,0.00030247129104306173,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-04-29,64,0.2681078642356861,0.1766213472651469,0.033023455694598816,0.019100219424615365,0.7143006010715776,0.020646939038298315,-1.1790316025718643,-0.0695019889926542,-0.00011122851093598967,-2.6595640000126522e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-05-31,68,0.14515800372714893,0.045426437495316274,0.05595936350480108,0.021335336417744887,0.6811655715107149,-0.12664222278570722,-0.4909576950235208,-0.06653109409154044,5.4925641656928776e-05,-0.0003165918821672247,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-06-30,69,0.2880702206181486,0.20637336068908363,-0.030826331025610356,0.06736362298731709,-0.5883201314586225,-0.10494208922290227,-1.425845046762386,-0.0674741397083349,-0.0012619475440350542,6.452231065750547e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-07-29,68,0.4194522876407223,0.3517217211988066,-0.06371249112077135,-0.0607786158662805,-0.6558656978270346,-0.13781877196816497,-2.5861974305278204,-0.07633183071858121,0.006817988119199122,2.9397110683065892e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-08-31,73,0.2942421391093527,0.21823744639805231,0.0771007108094056,-0.087002649723996,0.07217607924439404,0.03962326968307047,-2.295355973079706,-0.03645786794688414,0.0011903876574581905,8.942512881508302e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-09-30,76,0.2607565809626735,0.18465799370883107,0.04036363688255864,0.06129500886950197,0.6077809901046962,0.08196908699888603,-1.5533818091939524,-0.03778467272115548,0.0010309887509841568,-0.00021705624032330146,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-10-31,75,0.14437476023215345,0.0549810784653636,0.015006866765491097,-0.01739388144406002,-0.06800026281244491,0.1327361369964528,-0.9064022852697979,-0.030557873913880335,0.002486634865974926,-3.81515125010316e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-11-30,77,0.43733989929517947,0.38025843980338614,0.0471087206384829,-0.00015035649413585575,-1.192776566855367,0.09356989119170657,-1.2484894836899778,-0.006688163435497416,-8.604198883578715e-05,-9.880790531282573e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-12-30,79,0.03818241346125384,-0.056644672535523855,-0.02557775576434362,0.05769116351505128,0.04794596042065323,0.09925414180041564,-0.1345074059077253,0.018666392987210387,0.002048512533699196,-0.00028847399429794484,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-01-31,79,0.5059463960076578,0.45723688575489163,-0.24879806616373337,0.056659326721176205,-1.1629064998359881,0.2810925268344881,0.6787150717824201,0.024657133180535307,0.010786968666220226,-0.0005614441535015181,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-02-29,84,0.3277676797358756,0.2658515449747063,-0.08081648680022027,0.011813497293292974,2.109705875491208,-0.023695380897185703,-3.1006050407086376,-0.005975276300347309,0.0012253030072396304,-0.0005113247424960094,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-03-30,81,0.3192696958720651,0.2539941872570577,0.1403156952393993,-0.15126374689900182,1.8572105284275395,0.1317489847738288,2.0420000181350533,0.017743863794366602,0.00032877701036440436,-0.0003182600225164054,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-04-27,83,0.3134745783478734,0.2493988723270082,-0.056623623622686144,0.03036571081126792,-1.244795362992264,0.5239636797546334,2.198770990992348,0.05048048526909172,0.00037085332302902473,-0.00047845377441563486,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-05-31,88,0.22489706669747955,0.15707556003350898,-0.06315001200549629,-0.0274044817279221,0.557409309132565,0.20692962748012134,-1.7237476667514098,-0.004107909517304096,0.004007997521255282,-0.00035431071208551424,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-06-29,89,0.12260425899295901,0.04677993569605421,0.02025119051147988,-0.08560008000771754,0.11315268813319736,0.1301611205458334,-0.6726686927318772,0.03871698861196171,0.004452823795654805,-0.0003485543983888903,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-07-31,92,0.08724530257510266,0.011182411123027869,0.15398300865511924,-0.10242164619981423,-0.4244081055180591,0.13978129863833536,0.0028224662799018266,0.013274922670989878,0.0017376033099014423,-0.00029099315054101333,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-08-31,97,0.08831715360594472,0.016611761192929064,0.08874511308869644,-0.1184788043307456,-0.26275702381314564,0.042426424674496914,0.14856538225525834,0.025889644184984375,0.007455000755416933,-0.0003331496267944248,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-09-28,104,0.12700955170728145,0.06335399818593734,0.20490394574155069,-0.17554198564156853,-0.22895551782566242,0.26273113206366666,-0.7141151318066946,0.021699407406873407,0.005743538163661203,-0.0001682373108835831,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-10-31,106,0.10217194868251878,0.038041373588412974,-0.13966471267612154,0.13499954726025232,1.0522632559301968,0.021322364445053758,-0.0818784011897295,0.012764996157459187,0.0051896358637868005,3.050710259484263e-06,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-11-30,111,0.22527984035520487,0.17262895571915082,0.19307589414159942,-0.05502225871202055,-1.7401894018777677,0.11718577745251163,0.7576035600718437,0.02981041683227339,0.00016602965296834106,-0.0003327762746097546,,,,
FAC_rank_vol_m3_n6_pairwise1,2012-12-31,118,0.1949360572884561,0.14370471547953967,-0.0015106379900097892,0.17760437846828028,-0.9357198260265119,0.25974803895060744,2.0329728525646313,0.015821671151395125,-0.002110530382780584,-0.0004163524343962653,,,,
