factor,valid_rows,valid_months,eligible_months,min_cross_section_n,monthly_n_min,monthly_n_mean,monthly_n_median,monthly_n_max,sample_filters,filtered_rows_before_dropna,regression_months,regression_rows,skipped_months_after_eligibility,avg_r_squared,avg_adj_r_squared
FAC_rank_vol_m3_n6_pairwise1,33957,202,153,50,1,168.1039603960396,108.0,758,"{""is_insample_future_ret_6m"": 1}",140029,153,33151,0,0.2049793574136721,0.1574947062887143
FAC_rank_vol_m6_n3_pairwise1,33957,202,153,50,1,168.1039603960396,108.0,758,"{""is_insample_future_ret_6m"": 1}",140029,153,33151,0,0.20828250511739047,0.1609072889471905
FAC_rank_vol_m6_n6_pairwise1,29113,202,145,50,1,144.12376237623764,88.5,643,"{""is_insample_future_ret_6m"": 1}",140029,144,28079,1,0.21738969140648226,0.16618124636202003
FAC_rank_vol_m6_n12_pairwise1,21821,198,115,50,1,110.20707070707071,65.0,475,"{""is_insample_future_ret_6m"": 1}",140029,108,19600,7,0.23719259370460682,0.18980415369935844
FAC_rank_vol_m12_n6_pairwise1,21821,198,115,50,1,110.20707070707071,65.0,475,"{""is_insample_future_ret_6m"": 1}",140029,108,19600,7,0.23117359048764638,0.18287721689944678
