factor,month_date,n_obs,r_squared,adj_r_squared,const,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,2009-10-30,51,0.03718425521011459,-0.11955319161614586,-0.0024966874255950102,-0.0372896333502605,0.22028078087630434,0.0326350378146924,-0.1378440610850704,0.004155740172687975,0.04622316421351155,2.4956998785290266e-06,,,,
FAC_rank_vol_m3_n6_pairwise1,2009-11-30,53,0.20566007794320562,0.08209609006770424,-0.018045193207881095,-0.1732279185177142,1.1275984210536425,-0.017368276496683942,-0.24410419443672512,-0.005292368753260133,0.07020023334222052,0.0005875096407159807,,,,
FAC_rank_vol_m3_n6_pairwise1,2009-12-31,59,0.12991027996080873,0.010486200739743268,-0.207103925905622,0.005505265299377687,0.7757348373451097,-0.044966270680182996,-0.16059005110357688,0.030039017633138685,0.04888178352466619,0.0005562474935667591,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-01-29,55,0.11101441589685579,-0.021387692373825207,-0.031522708627358106,0.022444124216131782,0.40078552562510456,0.01342465863060938,-0.11981164596546078,0.00014082273236300295,0.029283285371059523,0.00024279823019258427,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-02-26,59,0.12058059901010598,-0.00012402465517369343,-0.014509900610718138,-0.08339372596047939,0.6469850539970239,0.15038983721232635,-0.2747979600635104,0.008330135230955257,0.0745226419038221,-1.3050128744407886e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-03-31,60,0.13477520885304417,0.01830264081403088,-0.05745998546698014,-0.060895305891466925,-0.5827786466646373,0.3227068412299276,-0.3871187143565203,0.037087104522572,0.08363975082105904,0.00017249335372708738,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-04-30,60,0.13591338820428678,0.019594036616402244,0.1629429729706551,-0.011833676137999093,0.3939337935271587,0.1252887752268983,0.013731877271654229,-0.0390561943708143,-0.00042596372986607216,0.0001418012135276588,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-05-31,57,0.27264918249859416,0.16874192285553613,0.06575152157455731,0.09949440706452356,0.7352495049002248,0.23312880407788422,0.36149210236788687,0.0022608326900788495,-0.0728774496819462,0.0004133083056618923,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-06-30,57,0.22899091630315815,0.1188467614893236,0.029231900834895352,0.1818459732880043,-0.9287137860520207,0.4869321255486648,0.2007012372088959,-0.0028665480842594475,-0.03912744898426154,0.0005394776698425822,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-07-30,58,0.22902369638514375,0.12108701387906395,0.31780539241200917,-0.17124019739002538,-0.039130113402805186,0.3460630664774903,0.07375944031849546,-0.03907773263998248,-0.027162201731773365,0.0003125236818984281,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-08-31,55,0.09388340694379771,-0.041070128192232325,0.28580223104482727,-0.15070331534961426,-0.48892356303888823,0.14293130116777097,0.0776789928891958,-0.052217747577838355,-0.012801134455653949,-0.00020077930825518922,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-09-30,60,0.17375326985823192,0.06252774849299392,-0.06649589248497233,0.18768748715331118,-0.8787792149795726,-0.07456088794644965,0.2226462271531339,-0.046208761212145656,-0.02787798337625476,-0.00019658454708676134,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-10-29,56,0.06994664308459309,-0.06568613813223712,-0.12524269396437449,0.07536146215564747,0.32055602159090935,-0.029315025739660095,-0.07074585864791662,-0.009314862965615131,0.008670014271063625,-0.00018152989309732354,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-11-30,59,0.2819568636681281,0.1834019233872829,-0.1089490173219018,0.09579825120851773,-0.17553094173262723,-0.11622483944626913,0.2065362835538977,-0.08298222486968358,-0.03575781559837993,2.7567073754884076e-05,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-12-31,61,0.23184493012180085,0.1303904869303406,-0.1314452937116894,0.07318549836148623,0.7154941540752603,-0.14983062679705472,0.21647080204552102,-0.004092219025272801,-0.027999260968348205,-0.00017131934761257565,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-01-31,60,0.11863605394542287,-9.092638847185697e-06,0.05603746350522299,-0.03744447590003354,-0.19857287111254945,0.049800855517335554,0.047483632463485796,-0.06668801470604052,-0.011963711131204662,0.00021673281343230724,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-02-28,63,0.18869582004913843,0.08543892441902878,-0.057406309258568065,0.052601976882521245,-0.8632392648711198,0.07163819849183865,0.08497751535054794,-0.05089204063197988,-0.020206119611834106,0.00025960223527154357,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-03-31,63,0.1321983664430304,0.021750885808506926,-0.05806057418519652,-0.07930175734959659,-0.20932509592850929,0.13378288656385612,-0.04788215212674692,-0.05691686098674858,-0.005636209969576839,0.0006743053709902954,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-04-29,64,0.201924864657817,0.10216547274004406,-0.06404485794525741,0.0532104940421936,0.9364027579867831,-0.020996579788929007,0.05033674755329335,-0.07707036166011189,-0.016938167913114865,0.00021541498867799576,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-05-31,68,0.16122013837540783,0.06336248785253873,0.029249070266623305,0.03381554393009669,1.1161348839484007,-0.20342460432161893,0.1355789294476906,-0.06881589635063147,-0.02550498283783988,-0.0002740190717658396,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-06-30,69,0.2539915864711303,0.16838406360716163,-0.1755712798774293,0.09829618861082456,-0.6189618084487973,-0.036235681082269385,-0.1678435151268804,-0.06808040341855968,0.016238946113633603,0.00040665553146434157,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-07-29,68,0.3561259649394378,0.28100732751570556,-0.11769844850202592,-0.037308594331077,-0.5825987236911302,0.021430613855896966,-0.5550321706117136,-0.05823858680979943,0.05133429162566971,0.0009535811322442379,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-08-31,73,0.23257410529108147,0.14992823970704405,-0.01719545525164392,-0.08750364050584893,0.2558766652842666,0.08299396897608197,-0.4541983353779274,-0.036222889237824775,0.019392726970051677,0.00107084386644482,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-09-30,76,0.1909236315086964,0.10763635828165041,-0.03558548591607823,0.09327241541260546,0.7388773787740069,0.009004483395569928,-0.22786771396915168,-0.031069805373799508,0.010009162105731398,0.00022859839005487316,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-10-31,75,0.1077360272962542,0.014514418207803081,0.012274806200940689,-0.026557466415173755,-0.14902517505867277,0.13107904406402385,-0.10322693458208648,-0.024058983016383068,0.006223860064026407,0.00033335956002439576,,,,
