factor,variable,coef,newey_west_se,t_stat,p_value,n_months,avg_monthly_n,total_regression_obs,avg_r_squared,avg_adj_r_squared,newey_west_lag,min_cross_section_n
FAC_rank_vol_m3_n6_pairwise1,const,0.07352577207140219,0.03182205176172293,2.3105289571504772,0.022203707589509295,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,-0.015654167068490953,0.014264008444442373,-1.0974591840339396,0.27417623141550623,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,0.1029423649548605,0.07374105548916363,1.3959979860877916,0.16475071708563946,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.060895638755920786,0.01917112617291449,3.1764247027885024,0.0018059447293385016,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.05778773525025016,0.01977460356727238,-2.922320796655098,0.004005066657539805,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,0.005880857967940231,0.006326181868439857,0.9296062127582415,0.354048982680781,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.004786900817295311,0.004402899582764369,1.087215533153233,0.2786625940081473,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,-8.522794630360899e-06,5.688228020682419e-05,-0.14983215509947886,0.8810956686551423,153,216.67320261437908,33151,0.16313858769934622,0.1138237694976954,5,50
FAC_rank_vol_m6_n3_pairwise1,const,0.08090211678499687,0.030138460596858197,2.6843480119031216,0.008073448459792031,153,216.67320261437908,33151,0.16589442183854752,0.11666202886951176,5,50
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,-0.02817605346434379,0.015335406279973643,-1.8373203128722206,0.06811538812308214,153,216.67320261437908,33151,0.16589442183854752,0.11666202886951176,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,0.10381124241193249,0.0733509275516518,1.4152682982615499,0.15903539478412296,153,216.67320261437908,33151,0.16589442183854752,0.11666202886951176,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,0.05755410379895025,0.01894911677216944,3.0372974366530863,0.002810167969734187,153,216.67320261437908,33151,0.16589442183854752,0.11666202886951176,5,50
