sort_col,portfolio,consistency_mean,future_ret_6m
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,Q1,0.19674139129218135,0.04713707442010052
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,Q2,0.3088194014327772,0.054692627616992014
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,Q3,0.3906365503040487,0.05335268916745482
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,Q4,0.48049505345042526,0.0627540866257296
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,Q5,0.64421117593573,0.05718453106067631
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,long-short,0.44746978464354864,0.010047456640575806
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,t-stat,,1.9927272487097667
FAC_rank_vol_m12_n6_pairwise1__x__rank_mean_m12_n6_pairwise1,p-value,,0.05165579451304754
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,Q1,0.13727254779750375,0.0565671701580138
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,Q2,0.29614322393754455,0.06623814509521507
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,Q3,0.44160141706699113,0.07065704573253517
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,Q4,0.6009282229948478,0.07342167703102491
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,Q5,0.8200934309655602,0.07631972588520705
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,long-short,0.6828208831680564,0.01975255572719323
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,t-stat,,2.560284370874069
FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,p-value,,0.013235017738935885
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,Q1,0.1330395497212922,0.045169587041911145
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,Q2,0.2995605982714304,0.05704466626683424
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,Q3,0.4400816323781529,0.05611342636184366
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,Q4,0.5939518852718892,0.061586009922063985
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,Q5,0.8162125757293915,0.05550625982143173
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,long-short,0.6831730260080993,0.010336672779520589
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,t-stat,,1.8244433543762564
FAC_rank_vol_m6_n12_pairwise1__x__rank_mean_m6_n12_pairwise1,p-value,,0.07394569624116691
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,Q1,0.20070797123876255,0.058097442030496736
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,Q2,0.30340624076699224,0.06528384145067455
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,Q3,0.3873757764286969,0.06965034161403527
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,Q4,0.48068294476337653,0.07448330097385276
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,Q5,0.6508875484238246,0.075775518563357
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,long-short,0.450179577185062,0.017678076532860274
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,t-stat,,2.400360123903664
FAC_rank_vol_m6_n3_pairwise1__x__rank_mean_m6_n3_pairwise1,p-value,,0.019790162180170597
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,Q1,0.16119534498606786,0.054291091407097036
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,Q2,0.30153023544858143,0.06627762217211117
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,Q3,0.41548183770426667,0.0704807069699005
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,Q4,0.5461559487358888,0.0723576210606006
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,Q5,0.753306186372656,0.0728509030674931
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,long-short,0.5921108413865882,0.01855981166039607
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,t-stat,,2.7470316636841585
FAC_rank_vol_m6_n6_pairwise1__x__rank_mean_m6_n6_pairwise1,p-value,,0.008155431240432616
