estimate_date,window_start,window_end,fund_code,w_growth,w_value,w_cash,weight_sum,r2,valid,net_growth_exposure
2011-03-04,2010-02-12,2011-03-04,21,0.7986731657064683,2.497424433656953e-16,0.20132683429353107,0.9999999999999996,0.5314152779097814,False,0.7986731657064681
2011-03-04,2010-02-12,2011-03-04,31,0.7878612539606016,0.0,0.2121387460393983,0.9999999999999999,0.5246541200323009,False,0.7878612539606016
2011-03-04,2010-02-12,2011-03-04,61,0.683544260558664,1.368949762847856e-16,0.0,0.6835442605586641,0.8934987786755181,True,0.6835442605586639
2011-04-01,2010-03-19,2011-04-01,21,0.8017048500089111,0.0,0.19829514999108797,0.9999999999999991,0.5333262871062292,False,0.8017048500089111
2011-04-01,2010-03-19,2011-04-01,31,0.7862401454346306,0.0,0.21375985456536697,0.9999999999999976,0.5261199784398478,False,0.7862401454346306
2011-04-01,2010-03-19,2011-04-01,61,0.6873765968737907,0.0,0.0,0.6873765968737907,0.8802451669974614,True,0.6873765968737907
2011-04-29,2010-04-16,2011-04-29,21,0.8231902621241838,0.0,0.1768097378758154,0.9999999999999991,0.5531137561994548,False,0.8231902621241838
2011-04-29,2010-04-16,2011-04-29,31,0.7919675753984516,2.0286284332771104e-16,0.20803242460154817,1.0,0.5364251376638111,False,0.7919675753984514
2011-04-29,2010-04-16,2011-04-29,61,0.7008430464161075,2.1780840979847611e-16,0.0,0.7008430464161077,0.8734087405379913,True,0.7008430464161073
2011-05-27,2010-05-14,2011-05-27,21,0.9181275552026372,0.0,0.08187244479736275,1.0,0.6305966318877385,False,0.9181275552026372
2011-05-27,2010-05-14,2011-05-27,31,0.9303126685421147,2.0001262710483148e-18,0.0,0.9303126685421147,0.6977065195611353,False,0.9303126685421147
2011-05-27,2010-05-14,2011-05-27,61,0.742315053489316,0.0,3.7990444123892075e-16,0.7423150534893164,0.8906309595942079,True,0.742315053489316
2011-06-24,2010-06-11,2011-06-24,21,0.9326158672829309,3.5845818459309563e-16,0.06738413271706863,0.9999999999999999,0.6544187935971546,False,0.9326158672829306
2011-06-24,2010-06-11,2011-06-24,31,0.9491924680821994,7.16460939950843e-20,9.876585181744703e-17,0.9491924680821995,0.7429001093559486,True,0.9491924680821994
2011-06-24,2010-06-11,2011-06-24,61,0.7745382814703851,9.223967593394042e-17,1.5655879370690684e-16,0.7745382814703853,0.9004895537314879,True,0.774538281470385
2011-07-22,2010-07-09,2011-07-22,21,0.8720359898110125,0.0,0.12796401018898737,0.9999999999999999,0.5884266423119338,False,0.8720359898110125
2011-07-22,2010-07-09,2011-07-22,31,0.8705543042924337,0.0,0.0,0.8705543042924337,0.7150915625744712,True,0.8705543042924337
2011-07-22,2010-07-09,2011-07-22,61,0.7754532090517225,0.0,0.0,0.7754532090517225,0.8769633010506503,True,0.7754532090517225
2011-08-19,2010-08-06,2011-08-19,21,0.8270630025785787,1.98585623536913e-16,0.17293699742142113,1.0,0.5335269789670662,False,0.8270630025785785
2011-08-19,2010-08-06,2011-08-19,31,0.8283027230627299,2.3468891252877846e-16,0.0,0.8283027230627301,0.6650030967622428,False,0.8283027230627297
2011-08-19,2010-08-06,2011-08-19,61,0.8030186113980613,0.0,0.0,0.8030186113980613,0.8523811495675315,True,0.8030186113980613
2011-09-16,2010-09-03,2011-09-16,21,0.844489973955408,0.0,0.15551002604459194,1.0,0.566595350172284,False,0.844489973955408
2011-09-16,2010-09-03,2011-09-16,31,0.8391628664371213,1.563988640384397e-16,1.1171619185290638e-15,0.8391628664371226,0.6928853441773922,False,0.8391628664371212
2011-09-16,2010-09-03,2011-09-16,61,0.8242811689552427,0.0,0.0,0.8242811689552427,0.8487744566235408,True,0.8242811689552427
2011-10-21,2010-10-15,2011-10-21,21,0.872927836739601,7.722769310096906e-17,0.12707216326039866,0.9999999999999998,0.6187344406725039,False,0.8729278367396008
2011-10-21,2010-10-15,2011-10-21,31,0.889192382948395,0.0,1.7332724617758018e-16,0.8891923829483952,0.7468771635781815,True,0.889192382948395
2011-10-21,2010-10-15,2011-10-21,61,0.8818650318132348,2.5551280562254676e-18,0.0,0.8818650318132348,0.858851424260131,True,0.8818650318132348
2011-11-18,2010-11-12,2011-11-18,21,0.956824885482619,0.0,0.04317511451738088,0.9999999999999999,0.776063485582341,True,0.956824885482619
2011-11-18,2010-11-12,2011-11-18,31,0.9539396460423402,0.0,4.694168831256744e-16,0.9539396460423406,0.8589165109357143,True,0.9539396460423402
2011-11-18,2010-11-12,2011-11-18,61,0.9381868117249939,0.0,1.034015398228572e-15,0.9381868117249949,0.9074180643087774,True,0.9381868117249939
2011-12-16,2010-12-10,2011-12-16,21,0.9999999999999998,0.0,2.2687694843389585e-16,1.0,0.8441503341146193,True,0.9999999999999998
2011-12-16,2010-12-10,2011-12-16,31,0.9490649594705332,0.0,0.0,0.9490649594705332,0.8836607582793383,True,0.9490649594705332
2011-12-16,2010-12-10,2011-12-16,61,0.9706870584196916,7.512841712658748e-17,8.415701054452014e-17,0.9706870584196918,0.9179245135738332,True,0.9706870584196915
2012-01-13,2011-01-07,2012-01-13,21,1.0,0.0,5.4110807612670275e-17,1.0,0.8520161539863271,True,1.0
2012-01-13,2011-01-07,2012-01-13,31,0.9259303792876616,0.0,9.424093657395424e-18,0.9259303792876616,0.8970192397039385,True,0.9259303792876616
2012-01-13,2011-01-07,2012-01-13,61,0.9651430488053296,2.8451491235681363e-18,2.807238034434617e-16,0.96514304880533,0.9180421431453993,True,0.9651430488053296
2012-02-17,2011-02-11,2012-02-17,21,0.9927395139495101,1.4474115648746173e-16,0.0,0.9927395139495102,0.8389797514691189,True,0.99273951394951
2012-02-17,2011-02-11,2012-02-17,31,0.9165418243705079,3.987943729790303e-18,0.0,0.9165418243705079,0.9078188571520313,True,0.9165418243705079
2012-02-17,2011-02-11,2012-02-17,61,0.9565014447655351,1.437970651375964e-16,6.650509272099223e-16,0.9565014447655359,0.9162108961313232,True,0.956501444765535
2012-03-16,2011-03-11,2012-03-16,21,0.9790952158843663,6.824077461413911e-18,0.0,0.9790952158843663,0.845848340498183,True,0.9790952158843663
2012-03-16,2011-03-11,2012-03-16,31,0.8859136321027157,0.010305480498780644,7.865490229164633e-19,0.8962191126014963,0.9135397335983189,True,0.875608151603935
2012-03-16,2011-03-11,2012-03-16,61,0.964134374627755,6.010833100951124e-17,0.0,0.9641343746277551,0.9226952141189109,True,0.9641343746277549
2012-04-13,2011-04-08,2012-04-13,21,0.9366787335556991,4.0995663687231524e-19,3.6428497321405645e-16,0.9366787335556994,0.8499834709079157,True,0.9366787335556991
2012-04-13,2011-04-08,2012-04-13,31,0.7847768885872782,0.10671246210527524,0.0,0.8914893506925534,0.9350314627142222,True,0.678064426482003
2012-04-13,2011-04-08,2012-04-13,61,0.9376890029182753,0.0,1.734723475976807e-17,0.9376890029182753,0.9263467680780119,True,0.9376890029182753
2012-05-11,2011-05-06,2012-05-11,21,0.9231028858773812,9.22552346946766e-17,2.982499026956431e-16,0.9231028858773817,0.8494050512472948,True,0.9231028858773811
2012-05-11,2011-05-06,2012-05-11,31,0.7895795514528364,0.10399517889887087,0.0,0.8935747303517073,0.9346875089464622,True,0.6855843725539655
2012-05-11,2011-05-06,2012-05-11,61,0.9187760441374373,1.7608544624654263e-17,0.0,0.9187760441374373,0.9204521064398064,True,0.9187760441374373
2012-06-08,2011-06-03,2012-06-08,21,0.9430556308724235,0.0,2.9204934248896197e-16,0.9430556308724238,0.8715128052834427,True,0.9430556308724235
2012-06-08,2011-06-03,2012-06-08,31,0.7785198464507737,0.12422925682891728,0.0,0.9027491032796909,0.9429388696560751,True,0.6542905896218564
2012-06-08,2011-06-03,2012-06-08,61,0.9304992476770474,5.557261542484711e-17,0.0,0.9304992476770475,0.9236662484940049,True,0.9304992476770473
2012-07-13,2011-07-01,2012-07-13,21,0.9331015628654374,0.0,0.0,0.9331015628654374,0.8661943483743126,True,0.9331015628654374
2012-07-13,2011-07-01,2012-07-13,31,0.7626227798754577,0.13902500082949257,0.0,0.9016477807049502,0.9418548579911428,True,0.6235977790459651
2012-07-13,2011-07-01,2012-07-13,61,0.919313944348999,0.0,0.0,0.919313944348999,0.9152976572946335,True,0.919313944348999
2012-08-10,2011-07-29,2012-08-10,21,0.9115312058071954,0.0,0.0,0.9115312058071954,0.8715945392608571,True,0.9115312058071954
2012-08-10,2011-07-29,2012-08-10,31,0.7670839618152063,0.13795387442483964,0.0,0.905037836240046,0.9429282246351642,True,0.6291300873903667
2012-08-10,2011-07-29,2012-08-10,61,0.9022016105229748,1.9579400891539447e-17,0.0,0.9022016105229748,0.9180105396071396,True,0.9022016105229748
2012-09-07,2011-08-26,2012-09-07,21,0.9026338487686841,3.917179534157337e-17,1.8958109772014437e-16,0.9026338487686844,0.884081463953142,True,0.9026338487686841
2012-09-07,2011-08-26,2012-09-07,31,0.7452759737449846,0.17555813671270065,0.0,0.9208341104576852,0.9482098103156384,True,0.569717837032284
2012-09-07,2011-08-26,2012-09-07,61,0.8395649123555949,0.05105746335749597,0.0,0.8906223757130909,0.9225609722146617,True,0.788507448998099
2012-10-12,2011-09-23,2012-10-12,21,0.8810240178432936,0.0,0.0,0.8810240178432936,0.888143922670052,True,0.8810240178432936
2012-10-12,2011-09-23,2012-10-12,31,0.7123576362473605,0.19357053730970675,1.0435311337218957e-18,0.9059281735570672,0.947540688960222,True,0.5187870989376537
2012-10-12,2011-09-23,2012-10-12,61,0.7636116620592054,0.13848609673926943,0.09790224120152516,1.0,0.9365426143787557,True,0.6251255653199359
2012-11-09,2011-10-28,2012-11-09,21,0.8410231388819479,0.0,1.7997756063259374e-17,0.8410231388819479,0.8884643902791782,True,0.8410231388819479
2012-11-09,2011-10-28,2012-11-09,31,0.7301026392612989,0.11010364681433697,3.3986387995928326e-19,0.8402062860756359,0.9555509272308867,True,0.619998992446962
2012-11-09,2011-10-28,2012-11-09,61,0.7579697645128135,0.10496099708520176,0.1370692384019848,1.0,0.946947111755123,True,0.6530087674276117
2012-12-07,2011-11-25,2012-12-07,21,0.8109544088241757,0.0,4.8561285227196344e-17,0.8109544088241757,0.8798911582631591,True,0.8109544088241757
2012-12-07,2011-11-25,2012-12-07,31,0.7917085018919622,2.286630597694052e-18,0.0,0.7917085018919622,0.9461305208551816,True,0.7917085018919622
2012-12-07,2011-11-25,2012-12-07,61,0.7420029849977916,0.12563106748464659,0.0,0.8676340524824382,0.9411863791712061,True,0.616371917513145
2013-01-04,2011-12-23,2013-01-04,21,0.8044596035250624,3.9530699604482135e-17,0.0,0.8044596035250624,0.885612264022003,True,0.8044596035250624
2013-01-04,2011-12-23,2013-01-04,31,0.7869547176234237,0.03148102502219225,6.938893903907228e-18,0.818435742645616,0.9408516356110475,True,0.7554736926012314
2013-01-04,2011-12-23,2013-01-04,61,0.682031450999229,0.20418639278626874,4.221769873238034e-20,0.8862178437854977,0.9489000834191417,True,0.4778450582129603
2013-02-01,2012-01-20,2013-02-01,21,0.7895772242194409,0.0,1.249000902703301e-16,0.789577224219441,0.9281735289351418,True,0.7895772242194409
2013-02-01,2012-01-20,2013-02-01,31,0.817758631342416,3.674269442098722e-18,3.8163916471489756e-17,0.817758631342416,0.9479572637624217,True,0.817758631342416
2013-02-01,2012-01-20,2013-02-01,61,0.7244895594026591,0.11086622945110074,0.1368939606397261,0.9722497494934859,0.9500282663218945,True,0.6136233299515584
2013-03-08,2012-02-24,2013-03-08,21,0.7738775335840344,2.4990940292765995e-17,0.0,0.7738775335840344,0.9275023232399664,True,0.7738775335840344
2013-03-08,2012-02-24,2013-03-08,31,0.7844096225679852,0.0,0.21559037743201476,1.0,0.9040705804772813,True,0.7844096225679852
2013-03-08,2012-02-24,2013-03-08,61,0.7377789388841223,0.09090261550679418,1.232595164407831e-32,0.8286815543909165,0.9466799467632797,True,0.646876323377328
2013-04-12,2012-03-23,2013-04-12,21,0.7438230163635866,0.0,0.25617698363641334,1.0,0.9058222385140519,True,0.7438230163635866
2013-04-12,2012-03-23,2013-04-12,31,0.7803589801453547,6.782947198151401e-17,0.21964101985464513,0.9999999999999999,0.8903271741663737,True,0.7803589801453545
2013-04-12,2012-03-23,2013-04-12,61,0.7275762148416048,0.06272434051299121,0.0,0.7903005553545961,0.9398984473212447,True,0.6648518743286136
2013-05-10,2012-04-20,2013-05-10,21,0.7437177836892579,4.1116603623016045e-18,0.25628221631074194,0.9999999999999998,0.9030531678551842,True,0.7437177836892579
2013-05-10,2012-04-20,2013-05-10,31,0.797916802976945,0.0,0.20208319702305486,0.9999999999999999,0.8830227791868814,True,0.797916802976945
2013-05-10,2012-04-20,2013-05-10,61,0.7290311378801079,0.050837268734389006,4.436362356675554e-17,0.7798684066144969,0.9357836120243972,True,0.6781938691457189
2013-06-07,2012-05-18,2013-06-07,21,0.7470709716471883,0.0,0.2529290283528117,1.0,0.9004352849490724,True,0.7470709716471883
2013-06-07,2012-05-18,2013-06-07,31,0.8111642422183917,0.0,0.18883575778160838,1.0,0.8744975557031407,True,0.8111642422183917
2013-06-07,2012-05-18,2013-06-07,61,0.7406858408557817,0.053174061748695135,0.0,0.7938599026044768,0.936605308615485,True,0.6875117791070866
2013-07-05,2012-06-15,2013-07-05,21,0.7225632497136684,0.0,0.2774367502863317,1.0,0.8804869866090194,True,0.7225632497136684
2013-07-05,2012-06-15,2013-07-05,31,0.7902080664924644,0.0,0.2097919335075356,1.0,0.8330817061057846,True,0.7902080664924644
2013-07-05,2012-06-15,2013-07-05,61,0.705584143994731,0.10238289953032528,5.449411624347139e-17,0.8079670435250563,0.9386299589011126,True,0.6032012444644057
2013-08-02,2012-07-20,2013-08-02,21,0.7157825746410219,0.0,0.2842174253589781,1.0,0.8784173971794842,True,0.7157825746410219
2013-08-02,2012-07-20,2013-08-02,31,0.7779006764165095,0.0,0.2220993235834904,0.9999999999999999,0.817940930831213,True,0.7779006764165095
2013-08-02,2012-07-20,2013-08-02,61,0.7370566454245862,0.06566132892384745,2.2360493093575383e-16,0.8027179743484338,0.9414570256772195,True,0.6713953165007387
2013-08-30,2012-08-17,2013-08-30,21,0.7091366343988094,2.7727276616103256e-17,0.29086336560119036,0.9999999999999998,0.8286023616104107,True,0.7091366343988094
2013-08-30,2012-08-17,2013-08-30,31,0.772997910048462,1.1920226484920495e-16,0.22700208995153792,1.0,0.7346824714719615,True,0.7729979100484619
2013-08-30,2012-08-17,2013-08-30,61,0.7799543001398692,0.020379004737840902,3.410092950041853e-17,0.8003333048777101,0.9390952964546505,True,0.7595752954020283
2013-10-11,2012-09-14,2013-10-11,21,0.6721230293794689,0.0,0.32787697062053106,1.0,0.7361766740531749,True,0.6721230293794689
2013-10-11,2012-09-14,2013-10-11,31,0.7220995176901197,0.0,0.2779004823098804,1.0,0.6132531606704289,False,0.7220995176901197
2013-10-11,2012-09-14,2013-10-11,61,0.766601169624218,0.05719852263251379,5.338592957276781e-17,0.8237996922567318,0.9295094940855206,True,0.7094026469917042
2013-11-08,2012-10-19,2013-11-08,21,0.6902493665788466,1.543409002366423e-16,0.3097506334211533,1.0,0.7140624460963778,True,0.6902493665788465
2013-11-08,2012-10-19,2013-11-08,31,0.7336469773573876,0.0,0.26635302264261246,1.0,0.603878881712089,False,0.7336469773573876
2013-11-08,2012-10-19,2013-11-08,61,0.7390161434359992,0.08026671044485884,4.3721446890990916e-17,0.8192828538808581,0.9190274125696564,True,0.6587494329911403
2013-12-06,2012-11-16,2013-12-06,21,0.6987048280613947,2.1538485347001833e-16,0.3012951719386051,1.0,0.6659624847753349,False,0.6987048280613944
2013-12-06,2012-11-16,2013-12-06,31,0.7567782725878186,0.0,0.2432217274121813,0.9999999999999999,0.5494194195186617,False,0.7567782725878186
2013-12-06,2012-11-16,2013-12-06,61,0.7618839384344436,0.056718797078395625,6.42837543721863e-18,0.8186027355128392,0.9100572129363416,True,0.7051651413560479
2014-01-03,2012-12-14,2014-01-03,21,0.6683898590028124,0.0,0.3316101409971876,1.0,0.6262347545204155,False,0.6683898590028124
2014-01-03,2012-12-14,2014-01-03,31,0.7262700429587882,0.0,0.2737299570412111,0.9999999999999993,0.4878694235929044,False,0.7262700429587882
2014-01-03,2012-12-14,2014-01-03,61,0.7377808822745311,0.061362326339953456,0.20085679138551538,0.9999999999999999,0.9062429039993405,True,0.6764185559345777
2014-02-07,2013-01-11,2014-02-07,21,0.669802506417952,3.144555379843387e-16,0.33019749358204764,1.0,0.6170230789288709,False,0.6698025064179517
