estimate_date,forward_start,forward_end,year,valid_fund_count,growth_group_count,value_group_count,dominant_style,growth_style_return,value_style_return,growth_group_return,value_group_return,correct_group,wrong_group,correct_group_return,wrong_group_return,return_diff,benchmark_5050_return,benchmark_minus_wrong
2011-03-04,2011-03-11,2011-04-01,2011,63,21,21,价值,0.00035100714175162473,0.013697122631731062,-0.012167927159406658,-0.006998294993095043,价值偏向组,成长偏向组,-0.006998294993095043,-0.012167927159406658,0.005169632166311615,0.007178465233029119,0.019346392392435775
2011-04-01,2011-04-08,2011-04-29,2011,62,20,20,价值,-0.0399234133551416,-0.01465067370881945,-0.029808808190438175,-0.02772480672160741,价值偏向组,成长偏向组,-0.02772480672160741,-0.029808808190438175,0.0020840014688307644,-0.026910987435976974,0.0028978207544612007
2011-04-29,2011-05-06,2011-05-27,2011,63,21,21,价值,-0.07641017229124036,-0.07585167876030019,-0.0707427022508971,-0.06276008121244077,价值偏向组,成长偏向组,-0.06276008121244077,-0.0707427022508971,0.00798262103845633,-0.07611899215236428,-0.005376289901467185
2011-05-27,2011-06-03,2011-06-24,2011,72,24,24,成长,0.03276303121134405,0.02301183307271759,0.028780973509745362,0.030557321690555916,成长偏向组,价值偏向组,0.028780973509745362,0.030557321690555916,-0.0017763481808105545,0.027677606577532377,-0.00287971511302354
2011-06-24,2011-07-01,2011-07-22,2011,78,26,26,成长,0.039254078972774664,-0.00012466665221244622,0.04195355410842543,0.02926775236749836,成长偏向组,价值偏向组,0.04195355410842543,0.02926775236749836,0.012685801740927073,0.01925963595231961,-0.01000811641517875
2011-07-22,2011-07-29,2011-08-19,2011,68,22,22,成长,-0.06878162494520523,-0.08727211618212272,-0.05284359339800005,-0.05198214680179902,成长偏向组,价值偏向组,-0.05284359339800005,-0.05198214680179902,-0.0008614465962010279,-0.07789511407493421,-0.02591296727313519
2011-08-19,2011-08-26,2011-09-16,2011,60,20,20,价值,-0.04463578718973471,-0.006441171230029297,-0.03760927523191884,-0.030016016552418333,价值偏向组,成长偏向组,-0.030016016552418333,-0.03760927523191884,0.00759325867950051,-0.026002075416458714,0.011607199815460129
2011-09-16,2011-09-23,2011-10-21,2011,66,22,22,价值,-0.11282859529589884,-0.06618625045207172,-0.09951369338922275,-0.08076718052395072,价值偏向组,成长偏向组,-0.08076718052395072,-0.09951369338922275,0.018746512865272028,-0.08961656349975156,0.009897129889471196
2011-10-21,2011-10-28,2011-11-18,2011,72,24,24,成长,0.05015834249794948,0.031700205167927153,0.06173912293825478,0.043443647040945076,成长偏向组,价值偏向组,0.06173912293825478,0.043443647040945076,0.018295475897309704,0.04073605024347615,-0.002707596797468924
2011-11-18,2011-11-25,2011-12-16,2011,109,36,36,价值,-0.09587553762311041,-0.06668300597832666,-0.07878788627220112,-0.05318006638121723,价值偏向组,成长偏向组,-0.05318006638121723,-0.07878788627220112,0.025607819890983895,-0.08110305880049906,-0.0023151725282979374
2011-12-16,2011-12-23,2012-01-13,2012,118,39,39,价值,-0.012357539648720661,0.012618128754109392,-0.0589858968663445,-0.0370508761015127,价值偏向组,成长偏向组,-0.0370508761015127,-0.0589858968663445,0.0219350207648318,0.00021436576409916697,0.059200262630443666
2012-01-13,2012-01-20,2012-02-17,2012,123,41,41,成长,0.07059760268599602,0.05277497841665202,0.056378971977543185,0.04103258925601432,成长偏向组,价值偏向组,0.056378971977543185,0.04103258925601432,0.015346382721528863,0.06162479512931118,0.02059220587329686
2012-02-17,2012-02-24,2012-03-16,2012,120,40,40,成长,0.054984227938347674,0.021305852639456058,0.05109448413300488,0.042384274367275585,成长偏向组,价值偏向组,0.05109448413300488,0.042384274367275585,0.008710209765729296,0.038170177913633196,-0.004214096453642388
2012-03-16,2012-03-23,2012-04-13,2012,123,41,41,价值,-0.021812132977264254,-0.00859429143654411,-0.021732666225579365,-0.018308066153538374,价值偏向组,成长偏向组,-0.018308066153538374,-0.021732666225579365,0.003424600072040991,-0.015320274922193122,0.006412391303386243
2012-04-13,2012-04-20,2012-05-11,2012,126,42,42,成长,0.029562124127549883,0.012567441058362716,0.01511809370225919,0.01579725616488753,成长偏向组,价值偏向组,0.01511809370225919,0.01579725616488753,-0.0006791624626283407,0.021158280481963,0.005361024317075469
2012-05-11,2012-05-18,2012-06-08,2012,126,42,42,成长,-0.03039257943828566,-0.04124278836649853,-0.021195659876817357,-0.023550382826747925,成长偏向组,价值偏向组,-0.021195659876817357,-0.023550382826747925,0.0023547229499305683,-0.03571285209612318,-0.012162469269375257
2012-06-08,2012-06-15,2012-07-13,2012,127,42,42,成长,0.012148104669015503,-0.008128345161021122,0.02613713918776731,0.0294287636688265,成长偏向组,价值偏向组,0.02613713918776731,0.0294287636688265,-0.0032916244810591924,-0.015575759252553723,-0.04500452292138023
2012-07-13,2012-07-20,2012-08-10,2012,126,42,42,价值,-0.022295584972345628,-0.013031717114641905,-0.02135805515567732,-0.01751679449427959,价值偏向组,成长偏向组,-0.01751679449427959,-0.02135805515567732,0.0038412606613977274,-0.0177092223876254,0.0036488327680519184
2012-08-10,2012-08-17,2012-09-07,2012,126,42,42,价值,-0.03475595672370113,-0.02403858808665227,-0.018671081708619343,-0.020810991821109102,价值偏向组,成长偏向组,-0.020810991821109102,-0.018671081708619343,-0.002139910112489759,-0.029424727780449467,-0.010753646071830124
2012-09-07,2012-09-14,2012-10-12,2012,131,43,43,价值,-0.012667170568104624,-0.012638981599476629,-0.02000365478918121,-0.012839449243496653,价值偏向组,成长偏向组,-0.012839449243496653,-0.02000365478918121,0.0071642055456845564,-0.012653070481679185,0.007350584307502024
2012-10-12,2012-10-19,2012-11-09,2012,130,43,43,价值,-0.024512972024743784,-0.005818221549955149,-0.029207362660624295,-0.021604913715676587,价值偏向组,成长偏向组,-0.021604913715676587,-0.029207362660624295,0.007602448944947708,-0.015161748066710778,0.014045614593913517
2012-11-09,2012-11-16,2012-12-07,2012,135,45,45,价值,-0.011460255864212066,0.0326305341571389,-0.02683439933981869,-0.01721413820980478,价值偏向组,成长偏向组,-0.01721413820980478,-0.02683439933981869,0.009620261130013907,0.010803455166803033,0.03763785450662172
2012-12-07,2012-12-14,2013-01-04,2013,133,44,44,价值,0.12582879209785136,0.1313765922772474,0.09771744430233605,0.08651913720580463,价值偏向组,成长偏向组,0.08651913720580463,0.09771744430233605,-0.011198307096531412,0.1285699831670195,0.030852538864683463
2013-01-04,2013-01-11,2013-02-01,2013,136,45,45,价值,0.08661727030158728,0.1028276954825662,0.06618512207055557,0.0641539123826267,价值偏向组,成长偏向组,0.0641539123826267,0.06618512207055557,-0.0020312096879288727,0.09474162385747031,0.02855650178691474
2013-02-01,2013-02-08,2013-03-08,2013,143,47,47,成长,-0.030585258159927964,-0.058288684526189516,-0.002790121579433482,-0.012425967106438923,成长偏向组,价值偏向组,-0.002790121579433482,-0.012425967106438923,0.009635845527005442,-0.04457223732189719,-0.03214627021545827
2013-03-08,2013-03-15,2013-04-12,2013,144,48,48,成长,-0.04123789461033589,-0.05502226656670561,-0.0001558793838159142,-0.009595615203620974,成长偏向组,价值偏向组,-0.0001558793838159142,-0.009595615203620974,0.00943973581980506,-0.05306461374909477,-0.04346899854547379
2013-04-12,2013-04-19,2013-05-10,2013,146,48,48,成长,0.041646727706470266,0.029763331336129406,0.06399450297395,0.05410929099796671,成长偏向组,价值偏向组,0.06399450297395,0.05410929099796671,0.009885211975983292,0.0357461544884532,-0.01836313650951351
2013-05-10,2013-05-17,2013-06-07,2013,146,48,48,成长,-0.01652147281018157,-0.01940157388686048,0.004277317923069059,-0.0032443233493558016,成长偏向组,价值偏向组,0.004277317923069059,-0.0032443233493558016,0.00752164127242486,-0.017943295509811663,-0.014698972160455862
2013-06-07,2013-06-14,2013-07-05,2013,148,49,49,成长,-0.07743464645940357,-0.10643019467997372,-0.014594490910610172,-0.022993033537004055,成长偏向组,价值偏向组,-0.014594490910610172,-0.022993033537004055,0.008398542626393883,-0.09189724000853905,-0.068904206471535
2013-07-05,2013-07-12,2013-08-02,2013,140,46,46,成长,0.019776765956807996,0.010986347578952893,0.04580855905313084,0.03321571943030845,成长偏向组,价值偏向组,0.04580855905313084,0.03321571943030845,0.012592839622822385,0.015412923291090674,-0.01780279613921778
2013-08-02,2013-08-09,2013-08-30,2013,138,46,46,价值,0.02841864074527689,0.05179621741800511,-0.003616415520794302,0.008589716034413015,价值偏向组,成长偏向组,0.008589716034413015,-0.003616415520794302,0.012206131555207316,0.039973419465121784,0.043589834985916086
2013-08-30,2013-09-06,2013-10-11,2013,111,37,37,价值,0.07533830941368613,0.08907404966243182,0.07683496458310372,0.0643805187943319,价值偏向组,成长偏向组,0.0643805187943319,0.07683496458310372,-0.01245444578877182,0.06903938318279823,-0.007795581400305493
2013-10-11,2013-10-18,2013-11-08,2013,81,27,27,价值,-0.07756538494991982,-0.046712130726208057,-0.0892781955293826,-0.0663304422008844,价值偏向组,成长偏向组,-0.0663304422008844,-0.0892781955293826,0.022947753328498202,-0.062141780916029954,0.027136414613352644
2013-11-08,2013-11-15,2013-12-06,2013,78,26,26,价值,0.04919560739257811,0.06027248691027265,0.05729964018492527,0.04442658006843681,价值偏向组,成长偏向组,0.04442658006843681,0.05729964018492527,-0.012873060116488456,0.054824062406311214,-0.002475577778614055
2013-12-06,2013-12-13,2014-01-03,2014,68,22,22,成长,-0.04201160728791142,-0.07094725405549096,-0.004186271820173095,-0.03079772355655761,成长偏向组,价值偏向组,-0.004186271820173095,-0.03079772355655761,0.026611451736384517,-0.056722264709987424,-0.025924541153429813
2014-01-03,2014-01-10,2014-02-07,2014,67,22,22,成长,0.006543702207413737,-0.014458037116052647,0.027833966173322552,0.010963499353317176,成长偏向组,价值偏向组,0.027833966173322552,0.010963499353317176,0.016870466820005377,-0.016974433314233428,-0.027937932667550604
2014-02-07,2014-02-14,2014-03-07,2014,65,21,21,价值,-0.018948150143612508,-0.005615593482082626,-0.01820133660277868,-0.017491465829614604,价值偏向组,成长偏向组,-0.017491465829614604,-0.01820133660277868,0.0007098707731640758,-0.012381704570151753,0.005819632032626927
