fund_code,selected_count,correct_count,wrong_count,avg_forward_return,avg_excess_vs_5050,win_rate_vs_5050,correct_rate,mean_net_exposure,exposure_vol,mean_abs_net_exposure,exposure_p10,exposure_p90,exposure_range_p90_p10,is_stable_selected,is_stable_outperform,is_stable,is_dynamic_style
251,127,66,61,0.007254104405119742,0.0028636059432753927,0.5826771653543307,0.5196850393700787,-0.7740974754454202,0.37463956342608645,0.7951243659226389,-1.0,-0.06861305836803892,0.9313869416319611,True,False,True,False
916,120,62,58,0.007572562700478596,0.0027466847565847208,0.5916666666666667,0.5166666666666667,-0.5585521918585293,0.2574690869744072,0.5585521918585296,-0.8702730304519872,-0.22549508818049613,0.6447779422714911,True,False,True,False
31,110,61,49,0.008197358731869202,0.004962987980554595,0.6,0.5545454545454546,0.8794328525985112,0.12015896976642322,0.8794328525985112,0.6803967264605795,1.0,0.31960327353942053,True,False,True,False
172,108,59,49,0.008457931394132359,0.002397777496301679,0.6203703703703703,0.5462962962962963,-0.09395608820173305,0.23670087429115388,0.19666954199990544,-0.4644824691472909,0.1722947911672385,0.6367772603145294,True,False,True,False
21,126,57,69,0.007228820949098813,0.0006989639850462743,0.49206349206349204,0.4523809523809524,0.9142472854641814,0.08426302261079453,0.9142472854641814,0.7949115919378241,1.0,0.20508840806217588,True,False,True,False
1577,101,55,46,0.008769773860705514,0.004167192183484513,0.5643564356435643,0.5445544554455446,-0.17712373170758708,0.44662611962194315,0.4147484723410396,-0.6534331052431724,0.5319307045425243,1.1853638097856969,True,False,True,False
1008,92,51,41,0.008115706779369675,0.003637513554469391,0.5869565217391305,0.5543478260869565,0.10078531432782709,0.7494047101603519,0.6842689901214395,-0.9999999999999998,0.9999999999999999,1.9999999999999996,True,False,True,False
61,96,50,46,0.014429475495963412,0.0018205112041797349,0.5208333333333334,0.5208333333333334,0.8493316998375988,0.13299308342670618,0.8493316998375988,0.6744092601610421,1.0,0.3255907398389579,True,False,True,False
893,95,47,48,0.0047468315219041345,0.0009779175474398233,0.5473684210526316,0.49473684210526314,-0.020638796530441997,0.6464666522888751,0.5659787885251455,-0.680244792547383,0.9999999999999998,1.680244792547383,True,False,True,False
991,77,46,31,0.015536836151201997,0.00920716126982595,0.5454545454545454,0.5974025974025974,0.21152786513402605,0.7232396840597742,0.6770396493262845,-0.806687757743714,0.9999999999999999,1.806687757743714,True,False,True,False
1039,90,45,45,0.013681298885342067,0.005072944313953233,0.5444444444444444,0.5,0.9561749915006481,0.05815243763860276,0.9561749915006482,0.855620514288842,1.0,0.144379485711158,True,False,True,False
4393,92,44,48,0.007404794958632716,0.002245560580461341,0.5543478260869565,0.4782608695652174,-0.4274836839254351,0.29533197738925615,0.4438478715502323,-0.7704040966256348,-0.020855558764786026,0.7495485378608487,True,False,True,False
4083,80,43,37,0.0031959197480259257,0.002345996704825394,0.5375,0.5375,-0.11771212466290364,0.0896375257043735,0.122066603055907,-0.25190993373628234,0.006074509219752216,0.25798444295603457,True,False,True,False
2334,88,43,45,0.001835430100531254,0.000669031146415832,0.5909090909090909,0.48863636363636365,-0.22302084036151948,0.27640117059025054,0.28594193840997467,-0.5733961549578543,0.16328392181700138,0.7366800767748557,True,False,True,False
2335,88,43,45,0.0014503513302828175,0.00028395237616739543,0.5681818181818182,0.48863636363636365,-0.22277687602292784,0.2774053552236457,0.28627310923363714,-0.5732145477748475,0.16479050335110917,0.7380050511259566,True,False,True,False
20,89,43,46,0.012587185895284203,0.007158703858947415,0.6292134831460674,0.48314606741573035,0.8641104815384215,0.12554974151958828,0.8641104815384215,0.6741616304892363,1.0,0.3258383695107637,True,False,True,False
1938,73,42,31,0.01605003688433407,0.009592913281290099,0.6027397260273972,0.5753424657534246,0.8189572051342645,0.205206011883168,0.8189572051342645,0.40953668063499943,1.0,0.5904633193650006,True,False,True,False
1036,87,42,45,0.007498660965399569,0.002820306462652465,0.5402298850574713,0.4827586206896552,0.8754189295215931,0.15760536996430946,0.8754189295215931,0.6012032428587638,1.0,0.3987967571412362,True,False,True,False
